,stock_code,corp_name,sector,product
8872,039350,헤파호프코리아,,
8995,006210,휴리프,,
9011,057100,하이스마텍,,
9020,108070,삼성디지털이미징,,
9093,037150,씨제이인터넷,,
9094,056200,엠넷미디어,,
9095,045710,온미디어,,
9133,039040,유니텍전자,,
9221,019430,위더스기술금융,,
9230,037550,클라스타,,
9232,052810,아시아미디어홀딩스,,
9240,056010,아이스테이션,,
9247,088010,동북아21호선박투자회사,,
9267,036550,에이스디지텍,,
9299,007830,부산저축은행,,
9316,068630,에피밸리,,
9329,009380,아세아페이퍼텍,,
9369,053470,오페스,,
9375,047710,액티투오,,
9377,038920,에이치에스씨홀딩스,,
9383,027840,한국고덴시,,
9384,036850,나리지*온,,
9386,014420,프로비타,,
9392,069470,제로원인터랙티브,,
9393,000610,제일화재해상보험,,
9394,083120,동북아9호선박투자회사,,
9414,051530,굿이엠지,,
9424,066850,아이드림,,
9468,004820,조인에너지,,
9482,048140,태광이엔시,,
9612,004790,렉스엘이앤지,,
9623,093400,코리아퍼시픽05호선박투자회사,,
9719,048460,엑큐리스,,
9789,025920,우경,,
9852,081220,세미텍,,
10022,000470,그린손해보험,,
10048,040180,대양글로벌,,
10051,046720,엔하이테크,,
10106,073930,제너시스템즈,,
10132,015050,엘트온,,
10180,036210,태산엘시디,,
10224,012090,성원건설,,
10227,004550,대우송도개발,,
10298,018410,현대금속,,
10320,034010,트라이써클,,
10389,126680,아이비케이에스스마트에스엠이기업인수목적1호,,
10472,037540,네스테크,,
10533,080980,동북아5호선박투자회사,,
10563,101990,파브코,,
10620,122750,우리기업인수목적1호,,
10629,054150,뉴젠아이씨티,,
10635,041630,인젠,,
10644,036920,지앤에스티,,
10873,053330,영진코퍼레이션,,
10880,090540,코크렙제8호위탁관리부동산투자회사,,
10881,003640,유니온스틸,,
10916,001670,경남모직,,
10949,050470,씨티앤티,,
10950,121910,대우증권그린코리아기업인수목적회사,,
10961,033850,지노시스템,,
10987,123290,한국투자신성장1호기업인수목적회사,,
10990,003900,동원데어리푸드,,
10993,066060,휴먼텍코리아,,
11000,071660,에스에스씨피,,
11061,089480,평산,,
11180,036610,지디코프,,
11193,081190,아시아퍼시픽2호선박투자회사,,
11266,034510,무한투자,,
11312,128910,동부티에스블랙펄기업인수목적,,
11332,053040,블루젬디앤씨,,
11336,123300,부국퓨쳐스타즈기업인수목적,,
11406,049000,예당컴퍼니,,
11511,032420,터보테크,,
11569,008540,케이비물산,,
11577,900030,연합과기공고유한공사,,
11648,012410,글로스텍,,
11650,950070,중국고섬공고유한공사,,
11692,093410,코리아퍼시픽06호선박투자회사,,
11694,010670,나노트로닉스,,
11859,121950,미래에셋제1호기업인수목적,,
11872,037380,에이원마이크로,,
11873,045470,에이프로테크놀로지,,
12045,053440,성우몰드,,
12073,110310,모린스,,
12115,091690,디지텍시스템스,,
12128,017160,세븐코스프,,
12186,011800,배명금속,,
12214,080970,동북아4호선박투자회사,,
12267,040020,사라콤,,
12317,065610,폴리플러스,,
12346,036280,하나물산,,
12366,085990,영찬테크,,
12443,149130,케이비부국제1호개발전문위탁관리부동산투자회사,,
12447,081930,아시아퍼시픽8호선박투자회사,,
12481,007200,진흥저축은행,,
12501,009010,에듀언스,,
12518,900150,성융광전투자유한공사,,
12563,066300,샤인시스템,,
12612,081090,씨모텍,,
12693,014900,에스컴,,
12742,080180,아시아퍼시픽1호선박투자회사,,
12755,081200,아시아퍼시픽3호선박투자회사,,
12780,025610,한국저축은행,,
12786,056710,미리넷,,
12881,900010,3노드디지탈그룹유한공사,,
12895,038720,유일엔시스,,
13133,064420,케이피케미칼,,
13141,041030,이루넷,,
13156,123550,대신증권그로쓰알파기업인수목적,,
13157,071530,유에이블,,
13221,028090,네오퍼플,,
13422,019120,경윤하이드로에너지,,
13431,004010,롯데미도파,,
13435,124050,한화에스브이명장제1호기업인수목적,,
13449,019260,셀텍,,
13450,123910,에스비아이앤솔로몬드림기업인수목적,,
13543,056810,위다스,,
13580,008080,에스와이코퍼레이션,,
13703,042820,어울림네트웍스,,
13730,038120,에이디모터스,,
13760,037240,평안물산,,
13777,013780,아큐텍,,
13780,014300,선진지주,,
13781,123160,히든챔피언제1호기업인수목적,,
13795,080030,동북아2호선박투자회사,,
13853,105070,금강제강,,
13994,041060,아라온테크,,
14009,053000,우리금융지주,,
14012,046810,코리언일랙트로닉스파워소스,,
14071,042340,대국,,
14079,041550,쎄라텍,,
14133,034600,글로웍스,,
14144,900060,중국식품포장유한공사,,
14189,080960,동북아3호선박투자회사,,
14286,035450,지아이바이오,,
14370,046430,알에스넷,,
14385,072530,나이스메탈,,
14450,016890,대웅바이오,,
14511,950130,엑세스바이오,의료용품 및 기타 의약 관련제품 제조업,"말라리아 진단키트(RDT), HIV 진단키트(RDT)"
14623,003330,하나IB증권,,
14644,042570,퓨쳐비젼,,
14761,045310,이레전자산업,,
14962,047420,레이더스컴퍼니,,
15027,038810,포이보스,,
15028,053890,미디어코프,,
15029,073780,케이디세코,,
15030,066200,이노블루,,
15031,078610,도움,,
15032,081500,엑스씨이,,
15146,011020,코오롱유화,,
15687,050600,세라온홀딩스,,
15711,083160,현대경매부동산일호투자회사,,
15725,060550,우수씨엔에스,,
15732,093730,동북아31호선박투자회사,,
15776,032050,후야인포넷,,
15821,036900,이레아이엔씨,,
15838,005330,카스코,,
15887,064720,모델라인,,
15890,035270,청람디지탈,,
15891,057330,플래닛팔이,,
15892,041940,한텔,,
16074,053170,코스모스피엘씨,,
16075,071360,나노하이텍,,
16076,036360,쓰리소프트,,
16077,038410,트라이콤,,
16078,036760,케이엔에스홀딩스,,
16079,076170,지비에스,,
16080,065910,피더블유제네틱스,,
16130,054440,엠텍반도체,,
16179,056060,세니콘,,
16236,004530,에스와이,,
16247,065810,유씨아이콜스,,
16382,073530,코크렙제3호CR리츠,,
16390,039060,아이비진,,
16599,057110,아이티센네트웍스,,
16618,072450,리얼티코리아제1호기업구조조정부동산투자,,
16787,003990,BHK,,
16788,048270,포넷,,
16940,009890,맥슨텔레콤,,
17184,054250,예일바이오텍,,
17395,032590,엔토리노,,
17434,033330,두림티앤씨,,
17452,089170,동북아27호선박투자회사,,
17453,089180,동북아28호선박투자회사,,
17454,089200,동북아30호선박투자회사,,
17455,089190,동북아29호선박투자회사,,
17511,038960,현주컴퓨터,,
17633,012990,LG석유화학,,
17654,058680,오브제,,
17820,009790,휴닉스,,
17846,066330,세이프아시아,,
17941,067910,코크렙제1호기업구조조정부동산투자회사,,
18170,054790,제이엠피,,
18189,005760,위너스인프라인,,
18348,015670,AP우주통신,,
18399,044370,조이토토,,
18400,060660,한도하이테크,,
18401,055970,에너윈,,
18548,073470,유레스메리츠제1호,,
18597,064900,교보메리츠퍼스트기업구조조정부동산투자회사,,
18599,003040,한일약품공업,,
18613,085450,굿앤리치부동산공경매투자회사1호,,
18667,025830,한국합섬,,
18855,088510,굿앤리치부동산공경매투자회사2호,,
18937,016040,디에스피이엔티,,
19018,037060,시큐어소프트,,
19024,001830,동부일렉트로닉스,,
19204,003660,고려시멘트,,
19206,060410,베스트플로우,,
19299,056020,쿨투,,
19417,012460,우영,,
20010,041310,모빌링크텔레콤,,
20479,010200,극동제혁,,
20486,025450,한마음상호저축은행,,
20526,009220,그로웰전자,,
20544,003930,부흥,,
20694,021570,알루코,,
20704,009080,퍼시픽글라스,,
21005,008780,아이인프라,,
21063,016970,씨크롭,,
21110,038400,외환신용카드,,
21112,033210,삼화기연,,
21146,037250,대흥멀티미디어통신,,
21224,018180,텔슨정보통신,,
21271,036820,비이티,,
21406,063510,코오롱인터내셔널,,
21454,037750,엔써커뮤니티,,
21455,039000,써미트테크놀로지,,
21459,027440,코리아이앤디,,
21464,038050,트래픽아이티에스,,
21500,035870,호성,,
21565,037220,넥스텔,,
21621,037730,쓰리알,,
21637,035780,그로웰텔레콤,,
21647,001150,서통,,
21869,043690,테크메이트,,
21907,036020,한아시스템,,
21908,053250,엔에스아이,,
21967,055810,케이티씨텔레콤,,
22150,054530,신한SIT,,
22202,004190,스마텔,,
22268,025690,동방라이텍,,
22302,008030,아이텍스필,,
22311,032180,이수세라믹,,
22317,070540,코크렙제2호기업구조조정부동산투자회사,,
22497,002850,영풍산업,,
22507,048150,모닷텔,,
22545,003590,광덕물산,,
22564,005890,동원증권,,
22597,054080,우주통신,,
22841,019930,기라정보통신,,
22879,027350,텔슨전자,,
22881,048540,하이콤정보통신,,
22941,037500,미래에셋굿라이프혼합형자녀를위한펀드5-1,,
22944,006150,한메엔에스,,
22992,038980,이지클럽,,
23194,037010,넷컴스토리지,,
23219,046000,모디아,,
23270,037650,성진산업,,
23275,038100,아이엠아이티,,
23277,036880,맥시스템,,
23333,056500,슈마일렉트론,,
23629,006750,센추리,,
23633,009360,베네데스하이텍,,
23636,032610,에스오케이,,
23743,036910,세원텔레콤,,
23903,036060,한강구조조정기금,,
23979,036590,케이엔티,,
24102,009940,대아리드선,,
24133,006600,동신제약,,
24188,031150,국민은행,,
24202,047610,월드텔레콤,,
24309,054370,업필,,
24518,045920,화림모드,,
24543,053200,디이시스,,
24591,000380,대아건설,,
24629,005600,중앙제지,,
24651,042960,창민테크,,
24751,049370,씨제이엔터테인먼트,,
24824,027700,대백쇼핑,,
25015,036600,지니웍스,,
25034,001580,신광기업,,
25070,023420,유진종합개발,,
25085,066480,휘튼,,
25196,031970,엠바이엔,,
25211,002950,두산건설,,
25232,001980,대호,,
25271,037120,한신코퍼레이션,,
25301,010730,금강화섬,,
25502,001280,우리증권,,
25538,039580,피코소프트,,
25539,035960,바이오시스,,
25551,039390,윌텍정보통신,,
25566,002930,삼도물산,,
25650,035910,현대멀티캡,,
25730,144630,씨아이에스,,
25754,068870,LG생명과학,,
25756,090970,코리아퍼시픽01호선박투자회사,,
25757,090980,코리아퍼시픽02호선박투자회사,,
25787,086830,신양오라컴디스플레이,,
26027,037620,미래에셋증권,,
26187,050640,이룸지엔지,,
26312,194860,에스와이이노베이션,,
26342,090990,코리아퍼시픽03호선박투자회사,,
26343,091000,코리아퍼시픽04호선박투자회사,,
26355,050050,유아이에너지,,
26377,083610,아시아퍼시픽14호선박투자회사,,
26514,083600,아시아퍼시픽13호선박투자회사,,
26515,083570,아시아퍼시픽10호선박투자회사,,
26516,204760,현대에이블기업인수목적1호,,
26517,083580,아시아퍼시픽11호선박투자회사,,
26518,083590,아시아퍼시픽12호선박투자회사,,
26531,004320,호반산업,,
26586,082930,실리콘화일,,
26706,058370,비엔씨컴퍼니,,
26780,083360,동북아11호선박투자회사,,
26781,083390,동북아14호선박투자회사,,
26835,074130,디아이디,,
26897,025270,부산방직공업,,
26905,034750,현대에이치씨엔동작방송,,
27025,065270,플렉스컴,,
27108,160350,웹솔루스,,
27255,088700,마이스코,,
27422,222520,솔트웍스,,
27429,011720,현대페인트,,
27441,117930,한진해운,,
27451,045050,글라소울,,
27463,025930,팬택자산관리,,
27531,068150,케이엔씨글로벌,,
27593,078780,아이디에스,,
27614,017170,훈영,,
27653,007190,한솔아트원제지,,
27706,074150,엠제이비,,
27909,092630,바다로3호선박투자회사,,
28075,053810,아이팩토리,,
28275,114130,거북선5호선박투자회사,,
28276,114140,거북선6호선박투자회사,,
28375,000830,삼성물산,,
28391,082390,피엘에이,,
28607,063840,닉스테크,,
28910,081940,아시아퍼시픽9호선박투자회사,,
28974,108890,거북선4호선박투자회사,,
28983,015110,중앙건설,,
29005,042950,미래에셋새천년코리아벤처펀드일호,,
29072,002860,하나은행,,
29102,071930,에이스하이텍,,
29188,039850,태창파로스,,
29237,950010,평산차업집단유한공사,,
29252,179280,스탠다드펌,,
29281,002530,벽산건설,,
29284,016420,NH농협증권,,
29285,081210,아시아퍼시픽4호선박투자회사,,
29470,025850,한화화인케미칼,,
29532,224090,정다운,,
29698,033030,지오엠씨,,
29801,031950,에듀패스,,
29812,026230,아이디에이치,,
29841,134000,거북선7호선박투자회사,,
29930,016560,서울상호저축은행,,
29984,040670,와이즈파워,,
30065,121550,코크렙제15호기업구조조정부동산투자회사,,
30249,043890,티브로드한빛방송,,
30278,102000,거북선3호선박투자회사,,
30281,013450,동성하이켐,,
30330,067130,클루넷,,
30496,099210,코리아퍼시픽07호선박투자회사,,
30531,056340,씨유전자,,
30611,158380,삼목강업,,
30686,037630,에스비엠,,
30744,044440,솔빛미디어,,
30768,119250,에프지엔개발전문자기관리부동산투자회사,,
30781,187770,판타지오,,
30822,010520,현대하이스코,,
30856,092970,거북선1호선박투자회사,,
30867,003940,삼양제넥스,,
30900,052350,코아에스앤아이,,
30980,181980,자원메디칼,,
30991,026250,삼우이엠씨,,
31006,038320,어울림정보기술,,
31087,035210,티브로드도봉강북방송,,
31251,008900,티이씨앤코,,
31361,010460,화인자산관리,,
31441,084450,세실,,
31585,008720,삼양엔텍,,
31657,000420,로케트전기,,
31673,014350,신일건업,,
31898,001300,제일모직,,
31911,139170,퓨얼셀파워,,
31949,950100,아루히,,
32051,053870,지티앤티,,
32088,052880,모아에스앤에스,,
32096,033280,어울림엘시스,,
32334,138440,이코리아자기관리부동산투자회사,,
32355,003600,SK,,
32405,103650,에이치앤아이,,
32428,051710,디에스,,
32487,110500,유니드코리아,,
32535,072430,아이레보,,
32580,010150,포스코티엠씨,,
32675,101380,거북선2호선박투자회사,,
32749,082240,아시아퍼시픽5호선박투자회사,,
32750,082260,아시아퍼시픽7호선박투자회사,,
32751,082250,아시아퍼시픽6호선박투자회사,,
32928,207930,에스케이제1호기업인수목적,,
32935,215580,대우기업인수목적3호,,
32951,207720,엔에이치에스엘기업인수목적,,
33155,204650,케이티비기업인수목적1호,,
33165,215750,미래에셋제3호기업인수목적,,
33190,110570,넥솔론,,
33197,189700,디피앤케이,,
33240,156170,비앤에스미디어,,
33274,085980,세화피앤씨,,
33309,232290,에스지에이시스템즈,,
33529,233190,미래자원엠엘,,
33586,900130,웨이포트유한공사,,
33587,232360,아스팩오일,,
33602,139200,하이골드오션2호선박투자회사,,
33629,206660,골든브릿지제2호기업인수목적,,
33698,005620,대성합동지주,,
33715,900050,중국원양자원유한공사,,
33728,260490,캐로스,,
33737,083620,아시아퍼시픽15호선박투자회사,,
33738,208870,하나머스트3호기업인수목적,,
33763,104120,신성에프에이,,
33856,104110,신성이엔지,,
33930,900070,글로벌에스엠,기타 금융업,"자회사 제품 : IT기기용 정밀 화스너부품(스크류, 샤프트, 스프링)"
34004,061460,한진피앤씨,,
34135,192240,나이코,,
34562,204440,대우기업인수목적2호,,
34681,036500,에스에스컴텍,,
34805,083350,동북아10호선박투자회사,,
34966,219580,골든브릿지제3호기업인수목적,,
35035,086200,제이앤유글로벌,,
35075,222390,케이비제8호기업인수목적,,
35407,256090,패션플랫폼,,
35581,218710,키움제3호기업인수목적,,
35684,221200,유진기업인수목적3호,,
35705,219860,한화에이스기업인수목적2호,,
35715,217810,엔에이치기업인수목적7호,,
35752,223040,교보5호기업인수목적,,
35753,221950,케이비드림투게더제3호기업인수목적,,
35811,219960,유안타제2호기업인수목적,,
35864,252940,에스엠로보틱스,,
35930,246830,시냅스엠,,
36618,062580,인산가,,
36818,230490,동부제4호기업인수목적,,
36879,235090,태경피엔에스,,
36922,016170,카카오엠,,
36934,051170,썬코어,,
36938,237720,케이엠제약,,
36939,226850,키움제4호기업인수목적,,
37028,008000,도레이케미칼,,
37063,207230,디와이엘엔제이,,
37089,095300,엔에스브이,,
37118,090730,심팩메탈,,
37145,130960,씨제이이앤엠,,
37178,225440,이베스트기업인수목적3호,,
37202,900180,완리인터내셔널홀딩스,,
37277,024660,하림홀딩스,,
37417,004130,대덕GDS,,
37479,026260,위너지스,,
37484,087220,스틸플라워,,
37690,900290,GRT,기타 금융업,"광학필름, 포장필름"
37702,052290,트레이스,,
38009,232270,케이비제9호기업인수목적,,
38010,235010,하이에이아이1호기업인수목적,,
38187,038990,넥스콘테크놀러지,,
38292,047060,덴소코리아,,
38661,082220,프렉코,,
38712,900090,차이나하오란리사이클링유한공사,,
39200,123100,원익테라세미콘,,
39724,167380,나무기술,,
40072,240540,한국제4호기업인수목적,,
40085,099830,씨그널엔터테인먼트그룹,,
40374,272420,극동자동화,,
40558,007910,세원화성,,
40740,094800,맵스리얼티1,신탁업 및 집합투자업,
41169,111610,세왕,,
41260,251540,에스와이제이,,
41286,144740,피엠디아카데미,,
41687,242420,본느,,
42137,140890,트러스와이제7호위탁관리부동산투자회사,,
42445,015170,중앙바이오텍,,
42679,030950,보진재,,
43081,900260,로스웰,기타 금융업,"CAN Control Gateway, CAN기능모듈, BCM 차체제어모듈"
43200,250300,제이에스피브이,,
43302,230400,자비스,,
43418,265480,미래에셋대우기업인수목적1호,,
43463,135270,세종머티리얼즈,,
43471,257730,신한제3호기업인수목적,,
43534,229480,줌인터넷,,
43553,226610,한국비엔씨,,
43583,247300,인프라웨어테크놀러지,,
43584,264290,한화에이스기업인수목적3호,,
43625,039530,씨앤케이인터내셔널,,
43770,122050,아이엘사이언스,,
43975,176560,포인트엔지니어링,,
44050,077280,한컴지엠디,,
44328,023430,아이이,,
44420,079660,사조해표,,
44570,026220,에스티씨라이프,,
44720,265920,한화수성기업인수목적,,
44744,026180,현대정보기술,,
44806,232330,에스케이제3호기업인수목적,,
44928,242850,영현무역,,
44934,262760,엔케이맥스,,
45240,262830,대신밸런스제4호기업인수목적,,
45873,122800,썬테크놀로지스,,
46102,007150,동양텔레콤,,
46415,252370,유쎌,,
46457,210610,소프트캠프,,
46611,271400,알로이스,,
46891,043580,에임하이글로벌,,
46901,271740,한국제5호기업인수목적,,
46931,065180,해피드림,,
46988,083380,동북아13호선박투자회사,,
47079,047440,디케이씨,,
47154,204690,다린,,
47269,041500,디비엘,,
47881,159650,하이골드오션8호국제선박투자회사,,
47955,065310,더스텔라,,
47999,900040,차이나그레이트스타인터내셔널리미티드,,
48097,950160,코오롱티슈진,기초 의약물질 및 생물학적 제제 제조업,골관절염 치료제
48105,004740,보루네오가구,,
48128,205290,케미메디,,
48417,189540,씨티네트웍스,,
48437,185280,이푸른,,
48452,950110,SBI핀테크솔루션즈,소프트웨어 개발 및 공급업,전자결제대행 및 핀테크 비스
48614,094700,미성포리테크,,
48811,123260,파인넥스,,
49148,004200,고려개발,,
49237,276920,아이비케이에스제7호기업인수목적,,
49356,251960,엠에프엠코리아,,
49357,284610,티에스트릴리온,,
49400,220110,드림티엔터테인먼트,,
49823,083370,동북아12호선박투자회사,,
49878,088980,맥쿼리인프라,신탁업 및 집합투자업,증권투자회사
49915,108790,인터파크,,
50010,277480,신한제4호기업인수목적,,
50121,278380,원바이오젠,,
50170,900250,크리스탈신소재,기타 금융업,"합성운모 플레이크, 파우더, 테이프"
50200,152330,코리아오토글라스,,
50339,220250,카이노스메드,,
50519,099350,하나유비에스암바토비니켈해외자원개발2호,,
50520,099340,하나유비에스암바토비니켈해외자원개발1호,,
50559,002300,한국제지,,
50613,291210,한국제7호기업인수목적,,
50908,030270,에스마크,,
50974,035480,글로앤웰,,
51024,279410,한화에이스기업인수목적4호,,
51062,281410,한국제6호기업인수목적,,
51272,149940,모다,,
51310,099660,신텍,,
51312,197210,리드,,
51402,039790,위노바,,
51408,016570,에스트라,,
51900,036260,이매진아시아,,
52262,950220,네오이뮨텍,자연과학 및 공학 연구개발업,면역항암제
52334,023890,한국아트라스비엑스,,
52352,005190,동성화학,,
52462,329050,구스앤홈,,
53057,310840,엔에이치기업인수목적13호,,
53072,103130,웅진에너지,,
53081,054050,농우바이오,작물 재배업,"고추, 수박, 참외(메론), 오이, 호박, 무, 배추 등"
53082,001810,무림SP,"펄프, 종이 및 판지 제조업","아트지,CCP지"
53115,060560,홈센타홀딩스,기타 전문 도매업,"건축자재,레미콘"
53122,105840,우진,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",원전용계측기
53123,015750,성우하이텍,자동차 신품 부품 제조업,자동차범퍼
53198,900080,에스앤씨엔진그룹리미티드,,
53207,150900,파수,소프트웨어 개발 및 공급업,기업용 문서보안 솔루션
53249,101930,인화정공,선박 및 보트 건조업,선박엔진부품
53263,005710,대원산업,자동차 신품 부품 제조업,자동차시트
53264,000490,대동,특수 목적용 기계 제조업,"경운기,트랙터,이앙기,바인더,수확기(콤바인),농업용엔진 및 부품 제조,판매"
53290,001590,일화모직공업,,
53428,311270,키움제5호기업인수목적,,
53508,001820,삼화콘덴서공업,전자부품 제조업,콘덴서(축전기) 제조
53565,000910,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업","백시멘트,타일시멘트,알루미나시멘트,용융알루미나,급결제,필터프레스,유니필터제조,도매"
53596,049800,우진플라임,특수 목적용 기계 제조업,"플라스틱사출성형기 제조,판매"
53609,065160,라임,,
53622,001020,페이퍼코리아,"펄프, 종이 및 판지 제조업","제지(신문용지,중질지),합판 제조,건설,석유류 판매"
53702,058400,KNN,텔레비전 방송업,방송프로그램 제작 및 송출
53730,005720,넥센,고무제품 제조업,"자동차용 재생타이어튜브,솔리드타이어,고무부품,골프볼,와이어로프소재,특수강선,열처리도금선,건자재 제조,판매,수출입"
53789,023600,삼보판지,"펄프, 종이 및 판지 제조업","골판지,골판지상자"
53790,104040,대성파인텍,자동차 신품 부품 제조업,"자동차부품(시트,도어) 제조"
53821,172580,하이골드오션12호국제선박투자회사,,
53831,200880,서연이화,자동차 신품 부품 제조업,자동차 도어 트림 및 시트
53883,045890,금빛,,
53905,001070,대한방직,직물직조 및 직물제품 제조업,"면사,화섬사,면직물 제조,판매,건설"
53910,011420,갤럭시아에스엠,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고"
53932,031990,대선조선,,
53958,217500,러셀,특수 목적용 기계 제조업,반도체장비 리퍼비시
53986,058220,아리온,통신 및 방송 장비 제조업,디지털셋톱박스
54099,091270,유디피,,
